"","category","name","price","ratings","no_of_reviews"
"1","PetSupplies","Check each product page for other buying options. Price and other details may vary based on product size and colour.","5.","3.9 out of 5 stars","483"
"2","PetSupplies","Cat Professional Recovery Suit for Abdominal Wounds or Skin Diseases, Kitten Surgery Recovery Suit E-Collar Alternative for Cats After Surgery Wear Pajama Suit (S Size, Pink)","6.","3.8 out of 5 stars","69"
"3","PetSupplies","Small Dog Hoodie,Fashion Soft Cotton Fleece Pet Security Hoodie Hooded Clothes Warm Autumn Winter Coat Puppy Hoodie T-Shirt Clothes Costume Apparel for Puppy Small Dogs Black","4.","4.0 out of 5 stars","574"
"4","PetSupplies","Small Dog Jumper, Warm Puppy Sweater for Dogs Winter Knitted Pullover Soft Turtleneck Clothes Vest Pet Autumn, Outfit Yorkshire, Chihuahua, Welsh Corgi, Cat (S, Purple)","8.","4.1 out of 5 stars","20"
"5","PetSupplies","Dog Jacket Coat for Small Dogs Cats Winter Warm Puppy Clothes with D-Ring for Harness Leash Soft Zipper Jacket Cold Weather Pet Apparel Clothing for Chihuahua Yorkie Gray M","9.","4.0 out of 5 stars","1,703"
"6","PetSupplies","Small Dogs Jumpers Soft Fleece Vest Dog Sweatshirt, Puppy Kittens Winter Clothes Warm Jacket Coat Cold Weather Apparel Pet Pajamas Warm Tshirt for Sphynx Hairless Cat Chihuahua Bulldogs Pink S","13.","4.0 out of 5 stars","26"
"7","PetSupplies","Sphynx Cats Pullover, Cat Turtleneck Sweater Jumper Kitten Fleece Winter Clothes Cat Pajama Warm Jumpsuit Cat Bodysuit Shirt for Sphynx Cornish Rex Devon Rex Peterbald(Grey, S)","7.","3.8 out of 5 stars","39"
"8","PetSupplies","Cute Cat Warm Jumper Sweater Pet Bow Knitwear Winter Dog Clothing Small Puppy Coat Dog Sweater for Chihuahua Yorkshire Christmas Apparel Clothes (Pink, Gray)","3.","4.0 out of 5 stars","94"
"9","PetSupplies","Cat Sunglasses, Retro Kitten Sunglass with Rose Gold Chain Eye UV Protection Classic Small Cat Glasses Cosplay Costume for Photo Props Cute Pet Decorations for Birthday Party","8.","4.2 out of 5 stars","1,018"
"10","PetSupplies","Lion Mane Wig for Dog and Cat Costume Pet Adjustable Washable Comfortable Fancy Lion Hair Dog Clothes Dress for Halloween Christmas Easter Festival Party Activity","10.","4.0 out of 5 stars","114"
