"","category","name","price","ratings","no_of_reviews"
"1","PetSupplies","Check each product page for other buying options. Price and other details may vary based on product size and colour.","9.","3.9 out of 5 stars","1,119"
"2","PetSupplies","Cat Halloween Costumes Cat Surgical Recovery Suit for Abdominal Wounds or Skin Diseases,Substitute E-Collar & Cone,Cat Holiday Costume Kitten Halloween Eve Party Cat Cosplay Costume","22.","4.2 out of 5 stars","43"
"3","PetSupplies","Girls Outfit Blue Cat Printing Hoodie & Joggers Boys Sportswear Clothing Sets","6.","4.1 out of 5 stars","68"
"4","PetSupplies","Dog Pajamas Dinosaur Pjs Jumpers for Small Medium Dogs Girl Boy Fleece Lined Warm Coat Winter Pullover Puppy Chihuahua Clothes Cat Apparel 2 Legs Homewear Cold Weather Autumn Yellow M","7.","3.9 out of 5 stars","836"
"5","PetSupplies","Star Print Pet Fleece Sweatshirt Jumper Sweater Jacket for Small Dogs Cats Boy Girl Crewneck Soft Warm Winter Coat Puppy Clothes Chihuahua Yorkie,Dark Blue M","16.","4.2 out of 5 stars","50"
"6","PetSupplies","Christmas Pet Clothes Santa Dog Costume Dog Apparel Party Dressing up Clothing Winter Hoodie Coat Clothes Xmas Dog Outfits Funny Dog Costume for Pet Cat Dog Chihuahua Yorkshire Poodle, M","5.","3.9 out of 5 stars","20"
"7","PetSupplies","Cat Socks Womens - 3/5 Pairs Cute Animal Socks Cotton Cat Gifts for Cat Lovers Funny Cat Socks for Women 4-7 Birthday Gifts for Ladies Mum Her Girlfriend Girls UK","29.","4.0 out of 5 stars","13"
"8","PetSupplies","Apparel Kitty Speaker Backpack Fish-Bone Purse 3.5mm Aux","9.","3.9 out of 5 stars","308"
"9","PetSupplies","Small Dog Sweater Cat Puppy Winter Warm Coat Pet Cold Weather Cozy Fleece Clothes Cute Pullover Sweater for Small Dogs Girl Boy (X-Large, Brown)","8.","4.2 out of 5 stars","118"
"10","PetSupplies","Pet Costume, Funny Cute Pet Dog Cat Pirate Clothes Suite Outfit for Halloween Christmas Holiday Dress Up Cosplay, Party Apparel Clothing for Cat Dog Plus Hat","4.","3.8 out of 5 stars","26"
"11","PetSupplies","""Knife Cat"" Enamel Pin black cat brooch horror killer animal badge Jewelry Gothic Gift For Women Girls Children for Clothing Bag","4.","4.1 out of 5 stars","1"
