"","title","author","subject","abstract","date"
"1","holmes: holonym-meronym based semantic inspection for convolutional image classifiers","francesco dibitonto, fabio garcea, andré panisson, alan perotti, lia morra","computer vision and pattern recognition","convolutional neural networks (cnns) are nowadays the model of choice in computer vision, thanks to their ability to automatize the feature extraction process in visual tasks. however, the knowledge acquired during training is fully subsymbolic, and hence difficult to understand and explain to end users. in this paper, we propose a new technique called holmes (holonym-meronym based semantic inspection) that decomposes a label into a set of related concepts, and provides component-level explanations for an image classification model. specifically, holmes leverages ontologies, web scraping and transfer learning to automatically construct meronym (parts)-based detectors for a given holonym (class). then, it produces heatmaps at the meronym level and finally, by probing the holonym cnn with occluded images, it highlights the importance of each part on the classification output. compared to state-of-the-art saliency methods, holmes takes a step further and provides information about both where and what the holonym cnn is looking at, without relying on densely annotated datasets and without forcing concepts to be associated to single computational units. extensive experimental evaluation on different categories of objects (animals, tools and vehicles) shows the feasibility of our approach. on average, holmes explanations include at least two meronyms, and the ablation of a single meronym roughly halves the holonym model confidence. the resulting heatmaps were quantitatively evaluated using the deletion/insertion/preservation curves. all metrics were comparable to those achieved by gradcam, while offering the advantage of further decomposing the heatmap in human-understandable concepts, thus highlighting both the relevance of meronyms to object classification, as well as holmes ability to capture it. the code is available at this https url.",2024-03-13
"2","pig aggression classification using cnn, transformers and recurrent networks","junior silva souza, eduardo bedin, gabriel toshio hirokawa higa, newton loebens, hemerson pistori","computer vision and pattern recognition","the development of techniques that can be used to analyze and detect animal behavior is a crucial activity for the livestock sector, as it is possible to monitor the stress and animal welfare and contributes to decision making in the farm. thus, the development of applications can assist breeders in making decisions to improve production performance and reduce costs, once the animal behavior is analyzed by humans and this can lead to susceptible errors and time consumption. aggressiveness in pigs is an example of behavior that is studied to reduce its impact through animal classification and identification. however, this process is laborious and susceptible to errors, which can be reduced through automation by visually classifying videos captured in controlled environment. the captured videos can be used for training and, as a result, for classification through computer vision and artificial intelligence, employing neural network techniques. the main techniques utilized in this study are variants of transformers: stam, timesformer, and vivit, as well as techniques using convolutions, such as resnet3d2, resnet(2+1)d, and cnnlstm. these techniques were employed for pig video classification with the objective of identifying aggressive and non-aggressive behaviors. in this work, various techniques were compared to analyze the contribution of using transformers, in addition to the effectiveness of the convolution technique in video classification. the performance was evaluated using accuracy, precision, and recall. the timersformer technique showed the best results in video classification, with median accuracy of 0.729.",2024-03-13
"3","a multimodal fusion network for student emotion recognition based on transformer and tensor product","ao xiang, zongqing qi, han wang, qin yang, danqing ma","computer vision and pattern recognition","in recent years, there have been frequent incidents of foreign objects intruding into railway and airport runways. these objects can include pedestrians, vehicles, animals, and debris. this paper introduces an improved yolov5 architecture incorporating fasternet and attention mechanisms to enhance the detection of foreign objects on railways and airport runways. this study proposes a new dataset, aarfod (aero and rail foreign object detection), which combines two public datasets for detecting foreign objects in aviation and railway systems. the dataset aims to improve the recognition capabilities of foreign object targets. experimental results on this large dataset have demonstrated significant performance improvements of the proposed model over the baseline yolov5 model, reducing computational requirements. improved yolo model shows a significant improvement in precision by 1.2%, recall rate by 1.0%, and map@.5 by 0.6%, while map@.5-.95 remained unchanged. the parameters were reduced by approximately 25.12%, and gflops were reduced by about 10.63%. in the ablation experiment, it is found that the fasternet module can significantly reduce the number of parameters of the model, and the reference of the attention mechanism can slow down the performance loss caused by lightweight.",2024-03-13
"4","improved yolov5 based on attention mechanism and fasternet for foreign object detection on railway and airway tracks","zongqing qi, danqing ma, jingyu xu, ao xiang, hedi qu","computer vision and pattern recognition","in recent years, there have been frequent incidents of foreign objects intruding into railway and airport runways. these objects can include pedestrians, vehicles, animals, and debris. this paper introduces an improved yolov5 architecture incorporating fasternet and attention mechanisms to enhance the detection of foreign objects on railways and airport runways. this study proposes a new dataset, aarfod (aero and rail foreign object detection), which combines two public datasets for detecting foreign objects in aviation and railway systems.the dataset aims to improve the recognition capabilities of foreign object targets. experimental results on this large dataset have demonstrated significant performance improvements of the proposed model over the baseline yolov5 model, reducing computational requirements.improved yolo model shows a significant improvement in precision by 1.2%, recall rate by 1.0%, and map@.5 by 0.6%, while map@.5-.95 remained unchanged. the parameters were reduced by approximately 25.12%, and gflops were reduced by about 10.63%. in the ablation experiment, it is found that the fasternet module can significantly reduce the number of parameters of the model, and the reference of the attention mechanism can slow down the performance loss caused by lightweight.",2024-03-13
"5","interactive environments for training children's curiosity through the practice of metacognitive skills: a pilot study","rania abdelghani, edith law, chloé desvaux, pierre-yves oudeyer, hélène sauzéon","computers and society","curiosity-driven learning has shown significant positive effects on students' learning experiences and outcomes. but despite this importance, reports show that children lack this skill, especially in formal educational settings. to address this challenge, we propose an 8-session workshop that aims to enhance children's curiosity through training a set of specific metacognitive skills we hypothesize are involved in its process. our workshop contains animated videos presenting declarative knowledge about curiosity and the said metacognitive skills as well as practice sessions to apply these skills during a reading-comprehension task, using a web platform designed for this study (e.g. expressing uncertainty, formulating questions, etc). we conduct a pilot study with 15 primary school students, aged between 8 and 10. our first results show a positive impact on children's metacognitive efficiency and their ability to express their curiosity through question-asking behaviors.",2024-03-13
"6","follow-your-click: open-domain regional image animation via short prompts","yue ma, yingqing he, hongfa wang, andong wang, chenyang qi, chengfei cai, xiu li, zhifeng li, heung-yeung shum, wei liu, qifeng chen","computer vision and pattern recognition","despite recent advances in image-to-video generation, better controllability and local animation are less explored. most existing image-to-video methods are not locally aware and tend to move the entire scene. however, human artists may need to control the movement of different objects or regions. additionally, current i2v methods require users not only to describe the target motion but also to provide redundant detailed descriptions of frame contents. these two issues hinder the practical utilization of current i2v tools. in this paper, we propose a practical framework, named follow-your-click, to achieve image animation with a simple user click (for specifying what to move) and a short motion prompt (for specifying how to move). technically, we propose the first-frame masking strategy, which significantly improves the video generation quality, and a motion-augmented module equipped with a short motion prompt dataset to improve the short prompt following abilities of our model. to further control the motion speed, we propose flow-based motion magnitude control to control the speed of target movement more precisely. our framework has simpler yet precise user control and better generation performance than previous methods. extensive experiments compared with 7 baselines, including both commercial tools and research methods on 8 metrics, suggest the superiority of our approach. project page: this https url",2024-03-13
"7","matching non-identical objects","yusuke marumo, kazuhiko kawamoto, hiroshi kera","computer vision and pattern recognition","not identical but similar objects are everywhere in the world. examples include four-legged animals such as dogs and cats, cars of different models, akin flowers in various colors, and countless others. in this study, we address a novel task of matching such non-identical objects. we propose a simple weighting scheme of descriptors that enhance various sparse image matching methods, which are originally designed for matching identical objects captured from different perspectives, and achieve semantically robust matching. the experiments show successful matching between non-identical objects in various cases including domain shift. further, we present a first evaluation of the robustness of the image matching methods under common corruptions, which is a sort of domain shift, and the proposed method improves the matching in this case as well.",2024-03-13
"8","progressive and rushed dyck paths","axel bacher","combinatorics","we call progressive paths and rushed paths two families of dyck paths studied by asinowski and jelínek, which have the same enumerating sequence (oeis entry a287709). we present a bijection proving this fact. rushed paths turn out to be in bijection with \emph{one-sided trees}, introduced by durhuus and ünel, which have an asymptotic enumeration involving a stretched exponential. we conclude by presenting several other classes of related lattice paths and directed animals that may have similar asymptotic properties.",2024-03-12
"9","aesopagent: agent-driven evolutionary system on story-to-video production","jiuniu wang, zehua du, yuyuan zhao, bo yuan, kexiang wang, jian liang, yaxi zhao, yihen lu, gengliang li, junlong gao, xin tu, zhenyu guo","computer vision and pattern recognition","the agent and aigc (artificial intelligence generated content) technologies have recently made significant progress. we propose aesopagent, an agent-driven evolutionary system on story-to-video production. aesopagent is a practical application of agent technology for multimodal content generation. the system integrates multiple generative capabilities within a unified framework, so that individual users can leverage these modules easily. this innovative system would convert user story proposals into scripts, images, and audio, and then integrate these multimodal contents into videos. additionally, the animating units (e.g., gen-2 and sora) could make the videos more infectious. the aesopagent system could orchestrate task workflow for video generation, ensuring that the generated video is both rich in content and coherent. this system mainly contains two layers, i.e., the horizontal layer and the utility layer. in the horizontal layer, we introduce a novel rag-based evolutionary system that optimizes the whole video generation workflow and the steps within the workflow. it continuously evolves and iteratively optimizes workflow by accumulating expert experience and professional knowledge, including optimizing the llm prompts and utilities usage. the utility layer provides multiple utilities, leading to consistent image generation that is visually coherent in terms of composition, characters, and style. meanwhile, it provides audio and special effects, integrating them into expressive and logically arranged videos. overall, our aesopagent achieves state-of-the-art performance compared with many previous works in visual storytelling. our aesopagent is designed for convenient service for individual users, which is available on the following page: this https url.",2024-03-12
"10","formalizing feint actions, and example studies in two-player games","junyu liu, wangkai jin, xiangjun peng","computer science and game theory","feint actions refer to a set of deceptive actions, which enable players to obtain temporal advantages from their opponents. such actions are regarded as widely-used tactic in most non-deterministic two-player games (e.g. boxing and fencing). however, existing literature does not provide comprehensive and concrete formalization on feint actions, and their implications on two-player games. we argue that a full exploration on feint actions is of great importance towards more realistic two-player games. in this paper, we provide the first comprehensive and concrete formalization of feint actions. the key idea of our work is to (1) allow automatic generation of feint actions, via our proposed palindrome-directed generation of feint actions; and (2) provide concrete principles to properly combine feint and attack actions. based on our formalization of feint actions, we also explore the implications on the game strategy model, and provide optimizations to better incorporate feint actions. our experimental results shows that accounting for feint actions in non-deterministic games (1) brings overall benefits to the game design; and (2) has great benefits on on either game animations or strategy designs, which also introduces a great extent of randomness into randomness-demanded game models.",2024-03-03
"11","exploring cluster analysis in nelore cattle visual score attribution","alexandre de oliveira bezerra, rodrigo goncalves mateus, vanessa ap. de moraes weber, fabricio de lima weber, yasmin alves de arruda, rodrigo da costa gomes, gabriel toshio hirokawa higa, hemerson pistori","image and video processing","assessing the biotype of cattle through human visual inspection is a very common and important practice in precision cattle breeding. this paper presents the results of a correlation analysis between scores produced by humans for nelore cattle and a variety of measurements that can be derived from images or other instruments. it also presents a study using the k-means algorithm to generate new ways of clustering a batch of cattle using the measurements that most correlate with the animal's body weight and visual scores.",2024-03-11
"12","style2talker: high-resolution talking head generation with emotion style and art style","shuai tan, bin ji, ye pan","computer vision and pattern recognition","although automatically animating audio-driven talking heads has recently received growing interest, previous efforts have mainly concentrated on achieving lip synchronization with the audio, neglecting two crucial elements for generating expressive videos: emotion style and art style. in this paper, we present an innovative audio-driven talking face generation method called style2talker. it involves two stylized stages, namely style-e and style-a, which integrate text-controlled emotion style and picture-controlled art style into the final output. in order to prepare the scarce emotional text descriptions corresponding to the videos, we propose a labor-free paradigm that employs large-scale pretrained models to automatically annotate emotional text labels for existing audiovisual datasets. incorporating the synthetic emotion texts, the style-e stage utilizes a large-scale clip model to extract emotion representations, which are combined with the audio, serving as the condition for an efficient latent diffusion model designed to produce emotional motion coefficients of a 3dmm model. moving on to the style-a stage, we develop a coefficient-driven motion generator and an art-specific style path embedded in the well-known stylegan. this allows us to synthesize high-resolution artistically stylized talking head videos using the generated emotional motion coefficients and an art style source picture. moreover, to better preserve image details and avoid artifacts, we provide stylegan with the multi-scale content features extracted from the identity image and refine its intermediate feature maps by the designed content encoder and refinement network, respectively. extensive experimental results demonstrate our method outperforms existing state-of-the-art methods in terms of audio-lip synchronization and performance of both emotion style and art style.",2024-03-11
"13","fish-inspired tracking of underwater turbulent plumes","peter gunnarson, john o. dabiri","fluid dynamics","autonomous ocean-exploring vehicles have begun to take advantage of onboard sensor measurements of water properties such as salinity and temperature to locate oceanic features in real time. such targeted sampling strategies enable more rapid study of ocean environments by actively steering towards areas of high scientific value. inspired by the ability of aquatic animals to navigate via flow sensing, this work investigates hydrodynamic cues for accomplishing targeted sampling using a palm-sized robotic swimmer. as proof-of-concept analogy for tracking hydrothermal vent plumes in the ocean, the robot is tasked with locating the center of turbulent jet flows in a 13,000-liter water tank using data from onboard pressure sensors. to learn a navigation strategy, we first implemented reinforcement learning (rl) on a simulated version of the robot navigating in proximity to turbulent jets. after training, the rl algorithm discovered an effective strategy for locating the jets by following transverse velocity gradients sensed by pressure sensors located on opposite sides of the robot. when implemented on the physical robot, this gradient following strategy enabled the robot to successfully locate the turbulent plumes at more than twice the rate of random searching. additionally, we found that navigation performance improved as the distance between the pressure sensors increased, which can inform the design of distributed flow sensors in ocean robots. our results demonstrate the effectiveness and limits of flow-based navigation for autonomously locating hydrodynamic features of interest.",2024-03-10
"14","audio-synchronized visual animation","lin zhang, shentong mo, yijing zhang, pedro morgado","computer vision and pattern recognition","current visual generation methods can produce high quality videos guided by texts. however, effectively controlling object dynamics remains a challenge. this work explores audio as a cue to generate temporally synchronized image animations. we introduce audio synchronized visual animation (asva), a task animating a static image to demonstrate motion dynamics, temporally guided by audio clips across multiple classes. to this end, we present avsync15, a dataset curated from vggsound with videos featuring synchronized audio visual events across 15 categories. we also present a diffusion model, avsyncd, capable of generating dynamic animations guided by audios. extensive evaluations validate avsync15 as a reliable benchmark for synchronized generation and demonstrate our models superior performance. we further explore avsyncds potential in a variety of audio synchronized generation tasks, from generating full videos without a base image to controlling object motions with various sounds. we hope our established benchmark can open new avenues for controllable visual generation. more videos on project webpage this https url.",2024-03-08
