"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"1","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","bien relacin precio","allison mace","great fit",2024-02-08,3,"verified purchase"
"2","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set",NA,"dutchy","bought the largest size xl and it is more like a sm in australian sizing very disappointed as this is a cute set that would be perfect for my up coming travels",2024-02-26,5,"verified purchase"
"3","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set",NA,"allison mace","nicely cut good seamstress not linen cotton",2024-02-08,1,"verified purchase"
"4","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set",NA,"dutchy","very well made fortunately s was smallest size as it equates roughly to an australian size   looked really good on my side  daughter  not the size  who it was intended for  would buy a medium for her",2024-02-26,5,"verified purchase"
"5","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set",NA,"nicciannem","the quality is very poor and the cut that i received is not similar to the picture advertised",2023-06-09,1,"verified purchase"
"6","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set",NA,"teresa j","i ordered an xl as a standard australian size   size guide indicated that this would be the right size however the outfit would have been closer to a small size  the quality of the material was also pretty cheap",2024-01-09,3,"verified purchase"
"7","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set",NA,"burcu turkmener","honestly this is a shame for amazon terrible product cant even be bothered to write and i have to waste my time returning",2023-12-21,5,"verified purchase"
"8","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set",NA,"katie","ordered an xl and its more like an ",2023-08-23,1,"verified purchase"
"9","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set",NA,"angela","this is marked size  and would barely fit a size  very disappointing",2023-07-07,1,"verified purchase"
"10","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set",NA,"kim","la tela no es de muy buena calidad bonito fit",2023-09-21,1,"verified purchase"
"11","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","great fit great material great versatility get it","allison mace","love this set ordered a l im   and a ddd have it in army green and black probably going to get navy can dress up or down have worn shorts with another top and top with another skirt its linen wore it to some hot day concerts and super comfy dont mind my togo bev container haha shorts are high waisted enough that you arent showing your stomach unless youre really got your hands in the air waving them like you just to dont carealso the automet shorts style is the best ordered another seller to try in different color and wasnt a fan of the shorts these are more tailored with a side zipper and elastic in back way more flattering others were pull on and elastic all the way around",2024-02-08,3,"verified purchase"
"12","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","very comfortable and elegant","dutchy","very comfortable and stylish but i would recommend that you go up a size cause it does fit very small",2024-02-26,5,"verified purchase"
"13","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","shrunk to a childs size","hdolly","when this product arrived i was so excited im a smallmedium in most things and i got the medium in this and it was so cute the tops hem came just to the waistline of the shorts and was nice and flowy and the shorts were perfect and soft then i washed it and dried it now the top fits like a sports bra and the shorts look like volleyball shorts they didnt just shrink a little they shrunk a lot they arent even in a condition that i would feel comfortable donating so disappointing wish i could return or get a refund definitely do not recommend this product",2023-06-27,1,"verified purchase"
"14","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","shrinks and zippers fail","hdolly","i ordered this and wore it one time out of the country it was cute despite the top being a little boxy in fit washed it accordingly and it shrunk the top became a crop top the zipper on the shorts failed on me and it got stuck in the top with the whole side opened  i missed the window period to return it since i was out of the country for several weeks so i have no choice but to keep something that didnt even retain its wear for more than one time so disappointing",2023-08-25,5,"verified purchase"
"15","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","definitely does not recommend","grace"," polyester   cotton unlike the description says not linen at all not see throught feels like cheap thin scrubs purchased the black version which was not great but okay definitely do not recommend amazon should filter the quality of the products sold on their platform more thoroughly how can we report incorrect product information",2023-04-29,5,"verified purchase"
"16","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","esperaba la tela fuera de lino es mas gruesa","samantha","la blusa queda muy grande el short si queda bien pero pense era lino y es tipo lino  no me gusto mucho la tela",2023-07-03,5,"verified purchase"
"17","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","no es lino","gin s","las tallas vienen reducidasla tela no es lino es popelina",2023-07-20,1,"verified purchase"
"18","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","thin material larger than expected","stphanie lemire","the material is very thin but if you get black its somehow not seethrough the size was way larger than expected i got a medium because thats what amazon recommended but i should have stuck with my true size small i would have liked to return but it doesnt have free returns",2023-05-08,3,"verified purchase"
"19","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","super cute but not worth it for the price","stphanie lemire","i loved this set when i bought it and wore it its so cute and just makes you feel put together i wore it washed it according to the directions and it shrunk in the wash and the front seem on the shorts started to come apart so unfortunately i cant wear it anymore cause its now too small and id have to see a few areas ",2023-04-28,1,"verified purchase"
"20","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","love the shorts shirt is alright","laura elena sandoval rivera","height  weight  lbs measurements waist in hips in chest ci am usually not a fan of ordering sets because my top and bottoms are usually not the same size but this fits well i really love the shorts and they are super comfortable my only issue is the zipper is a little weird and doesnt zip easily at the seam but still works the shirt isnt super flattering on me it makes me feel a bit boxy so i probably wont wear the set together but i love both pieces this is more of a me thing lol great quality material not itchy and is sturdy overall  def recommend",2023-05-23,1,"verified purchase"
"21","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","adorable","allison mace","great for the price super flattering and can dress up and down wash on hand wash and air dry otherwise the fabric will not hold up but so far its been great as long as you take gentle care",2024-02-08,3,"verified purchase"
"22","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","slightly different than image","dutchy","the material quality was really good but the picture was a bit different then the actual producttop the square neckline was very high compared to the image and was more of a crop top then a  normal top it also lacked the striped pattern seen in the imagebottoms the shorts were thicker in material and seems true to size i have long legs so buying shorts before trying them on is always a risk but these were just long enough and fit wellwhen not compared to the image they provide the set is actually very cute but i would advise going up a size",2024-02-26,5,"verified purchase"
"23","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","not great but not bad","makinsey","im not sure if the negative reviews are for different colours than the ones i got but i ordered the purple and light tan and they are both decent quality the material of mine is a linen  rayon blend as shown in the description and the fit is quite flattering i sized up one size the items that i received are definitely worth the price imo",2024-01-20,1,"verified purchase"
"24","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","not flattering on curvy body","gina","if you have any tummy insecurities this is not the set for you the shorts were not flattering on my body type however my friend is skinny no curves more athletic build and it looked cute on her it hugged every nook and cranny in all the wrong places the shirt is cute but i have  a big chest so it made the crop top look super short",2023-06-14,5,"verified purchase"
"25","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","very nice set","kiteen marie","great set nice material",2023-04-29,4,"verified purchase"
"26","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","love this","amazon customer","cant wait to wear this on my cruise the fabric is soft not that stiff faux linen which i dislike i usually wear a  and the xl fit perfect it is a little on the see through side but nothing the right under garments cant remedy  just ordered it in black as well",2023-10-07,4,"verified purchase"
"27","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","poor quality and size","vdn","i ordered a medium which is a size i take all the time and what i received looks like a small i could not zip the side or the back the fabric does not feel anything like linen very disappointing",2023-07-31,2,"verified purchase"
"28","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","obsessed with this set","motrees","i dont typically write reviews on amazon but this set deserves one i am   i typically range from a ml on sizing i ordered a l in this set because some of the comments suggested it shrunk when drying i washed mine dried for a few minutes then hung to try and it fits perfect the shorts are slightly big but super comfortable i wanted longer shorts to wear in disney since i carry a majority of my weight in my legslower stomach these were perfect i would consider myself someone with larger thighs and the shorts did not ride up or leave me chafed after a full day in epcot the material is great and not see through i was very comfortable all day great for anyone looking for something comfy they can move in",2023-02-07,5,"verified purchase"
"29","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","shorts and top set","motrees","really disappointed with this set quality is very poor top is very badly stitched and puckered around the arms probably wont last one wash looks somewhat similar to the photo but not worth the spend",2023-10-22,5,"verified purchase"
"30","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","great set","enis d","bought for my daughter for a vacation was so flattering and stylish on her washes up well and doesnt overly stretch out during wear like some linen will do",2023-09-03,5,"verified purchase"
"31","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","weird fit","allison mace","the shorts were too big and the arm holes were too big but i ordered the size that matched the chart measurements would be cute if it fit properly",2024-02-08,3,"verified purchase"
"32","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","love","dutchy","i just got this in the safe green and after trying it on i immediately added the black to my cart it is so cute and flattering i am  lbs and ordered the small for reference the top is cropped but it shows just a hint of midriff because the shorts are highwaisted enough itll be adorable with flat sandals or a wedge for just about any occasion after reading the reviews ill definitely line dry to avoid shrinking",2024-02-26,5,"verified purchase"
"33","automet womens 2 piece outfits lounge matching sets two piece linen shorts crop tops 2023 trendy clothes summer vacation set","nice summer outfit","naomi","i ordered the size that was most appropriate for my thick waist and the set was too big  there is ample stretchy elastic in the back of the shorts such that they pull on easily and were generously sized at the waist  the pleats on the front of the shorts are flattering and the top is boxy without being frumpy  i am  dd busty and about a size  right now and ordered the xl because i didnt want it too tight  the armholes are way too big and i need a size or two smaller  order your regular size on this  cute set  would be great for travel as the pieces would mix easily with other tops and bottoms",2023-11-21,1,"verified purchase"
